Media,Tactic,Week_start,Year,Quarter,Month,Week,Spending
TV - ABC\GMA,TV,2019-12-30,2020,1,1,1,0.0
TV - ABC\GMA3,TV,2019-12-30,2020,1,1,1,0.0
TV - Today Show,TV,2019-12-30,2020,1,1,1,0.0
TV - E!,TV,2019-12-30,2020,1,1,1,0.0
TV - Fox News,TV,2019-12-30,2020,1,1,1,0.0
TV - Weather Channel,TV,2019-12-30,2020,1,1,1,0.0
TV - Recipe.TV,TV,2019-12-30,2020,1,1,1,0.0
TV - Simulmedia,TV,2019-12-30,2020,1,1,1,0.0
TV - FreeWheel,TV,2019-12-30,2020,1,1,1,0.0
TV - Kelly Clarkson Show,TV,2019-12-30,2020,1,1,1,0.0
TV - Sinclair (Global Citizen),TV,2019-12-30,2020,1,1,1,0.0
TV - Cadent (Addressable),TV,2019-12-30,2020,1,1,1,0.0
Sinclair - Local Market (TV),TV,2019-12-30,2020,1,1,1,0.0
Sponsorship - GMA,SPONSORSHIP,2019-12-30,2020,1,1,1,0.0
Sponsorship - Today Show,SPONSORSHIP,2019-12-30,2020,1,1,1,0.0
Sponsorship - Access Live,SPONSORSHIP,2019-12-30,2020,1,1,1,0.0
Sponsorship - E!,SPONSORSHIP,2019-12-30,2020,1,1,1,0.0
Sponsorship - Kelly Clarkson Show,SPONSORSHIP,2019-12-30,2020,1,1,1,0.0
Radio - NYC Pop Up,RADIO,2019-12-30,2020,1,1,1,0.0
Print - FNMagazine \ MSL Holiday,PRINT,2019-12-30,2020,1,1,1,0.0
OOH - Billups,BILLBOARD,2019-12-30,2020,1,1,1,0.0
Ambassador - Jenna Fischer,INFLUENCER,2019-12-30,2020,1,1,1,0.0
Sinclair - Local Market (Digital),DIGITAL,2019-12-30,2020,1,1,1,0.0
GMA (Digital),DIGITAL,2019-12-30,2020,1,1,1,0.0
NBCU - Today Show (Digital),DIGITAL,2019-12-30,2020,1,1,1,0.0
NBCU - Access Live (Digital),DIGITAL,2019-12-30,2020,1,1,1,0.0
NBCU - E! (Digital),DIGITAL,2019-12-30,2020,1,1,1,0.0
NBCU - Tasty,DIGITAL,2019-12-30,2020,1,1,1,0.0
NBCU - Apple News,DIGITAL,2019-12-30,2020,1,1,1,0.0
Kelly Clarkson Show (BTS - Digital),DIGITAL,2019-12-30,2020,1,1,1,0.0
KH Digital - Super Bowl (Tastemade),DIGITAL,2019-12-30,2020,1,1,1,0.0
KH Digital - Super Bowl (Influencers),DIGITAL,2019-12-30,2020,1,1,1,0.0
KH Digital - Breakfast (Tastemade),DIGITAL,2019-12-30,2020,1,1,1,0.0
KH Digital - Summer (Delish),DIGITAL,2019-12-30,2020,1,1,1,0.0
KH Digital - BTS (Delish),DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - 2-Market Test,DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - Super Bowl (Paid Social),DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - SuperBowl (Search \ RT),DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - Breakfast (Paid Social - Pop Up),DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - Breakfast (Paid Social),DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - StayHome (Paid Social),DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - Summer (Paid Social),DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - BTS,DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - Round Bread,DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - Holiday \ 70th,DIGITAL,2019-12-30,2020,1,1,1,0.0
Digital - Boosted Organic Posts,DIGITAL,2019-12-30,2020,1,1,1,0.0
TV - ABC\GMA,TV,2020-01-06,2020,1,1,2,0.0
TV - ABC\GMA3,TV,2020-01-06,2020,1,1,2,0.0
TV - Today Show,TV,2020-01-06,2020,1,1,2,0.0
TV - E!,TV,2020-01-06,2020,1,1,2,0.0
TV - Fox News,TV,2020-01-06,2020,1,1,2,0.0
TV - Weather Channel,TV,2020-01-06,2020,1,1,2,0.0
TV - Recipe.TV,TV,2020-01-06,2020,1,1,2,0.0
TV - Simulmedia,TV,2020-01-06,2020,1,1,2,0.0
TV - FreeWheel,TV,2020-01-06,2020,1,1,2,0.0
TV - Kelly Clarkson Show,TV,2020-01-06,2020,1,1,2,0.0
TV - Sinclair (Global Citizen),TV,2020-01-06,2020,1,1,2,0.0
TV - Cadent (Addressable),TV,2020-01-06,2020,1,1,2,0.0
Sinclair - Local Market (TV),TV,2020-01-06,2020,1,1,2,0.0
Sponsorship - GMA,SPONSORSHIP,2020-01-06,2020,1,1,2,0.0
Sponsorship - Today Show,SPONSORSHIP,2020-01-06,2020,1,1,2,0.0
Sponsorship - Access Live,SPONSORSHIP,2020-01-06,2020,1,1,2,0.0
Sponsorship - E!,SPONSORSHIP,2020-01-06,2020,1,1,2,0.0
Sponsorship - Kelly Clarkson Show,SPONSORSHIP,2020-01-06,2020,1,1,2,0.0
Radio - NYC Pop Up,RADIO,2020-01-06,2020,1,1,2,0.0
Print - FNMagazine \ MSL Holiday,PRINT,2020-01-06,2020,1,1,2,0.0
OOH - Billups,BILLBOARD,2020-01-06,2020,1,1,2,0.0
Ambassador - Jenna Fischer,INFLUENCER,2020-01-06,2020,1,1,2,0.0
Sinclair - Local Market (Digital),DIGITAL,2020-01-06,2020,1,1,2,0.0
GMA (Digital),DIGITAL,2020-01-06,2020,1,1,2,0.0
NBCU - Today Show (Digital),DIGITAL,2020-01-06,2020,1,1,2,0.0
